Categoría: Todas las categorías

Semana,vacations: (Todo el mundo)
2016-07-10,67
2016-07-17,63
2016-07-24,63
2016-07-31,59
2016-08-07,55
2016-08-14,55
2016-08-21,58
2016-08-28,55
2016-09-04,54
2016-09-11,54
2016-09-18,58
2016-09-25,54
2016-10-02,53
2016-10-09,60
2016-10-16,62
2016-10-23,58
2016-10-30,55
2016-11-06,53
2016-11-13,61
2016-11-20,56
2016-11-27,57
2016-12-04,54
2016-12-11,50
2016-12-18,58
2016-12-25,80
2017-01-01,100
2017-01-08,97
2017-01-15,98
2017-01-22,92
2017-01-29,80
2017-02-05,75
2017-02-12,74
2017-02-19,80
2017-02-26,76
2017-03-05,75
2017-03-12,75
2017-03-19,71
2017-03-26,72
2017-04-02,65
2017-04-09,63
2017-04-16,60
2017-04-23,60
2017-04-30,59
2017-05-07,57
2017-05-14,58
2017-05-21,60
2017-05-28,65
2017-06-04,67
2017-06-11,70
2017-06-18,73
2017-06-25,70
2017-07-02,69
2017-07-09,74
2017-07-16,71
2017-07-23,72
2017-07-30,70
2017-08-06,65
2017-08-13,61
2017-08-20,54
2017-08-27,54
2017-09-03,56
2017-09-10,52
2017-09-17,55
2017-09-24,57
2017-10-01,52
2017-10-08,56
2017-10-15,56
2017-10-22,58
2017-10-29,54
2017-11-05,59
2017-11-12,62
2017-11-19,60
2017-11-26,61
2017-12-03,57
2017-12-10,54
2017-12-17,55
2017-12-24,80
2017-12-31,98
2018-01-07,89
2018-01-14,92
2018-01-21,87
2018-01-28,87
2018-02-04,81
2018-02-11,78
2018-02-18,78
2018-02-25,73
2018-03-04,75
2018-03-11,70
2018-03-18,70
2018-03-25,67
2018-04-01,71
2018-04-08,67
2018-04-15,66
2018-04-22,57
2018-04-29,55
2018-05-06,58
2018-05-13,57
2018-05-20,55
2018-05-27,59
2018-06-03,60
2018-06-10,62
2018-06-17,59
2018-06-24,62
2018-07-01,63
2018-07-08,61
2018-07-15,63
2018-07-22,63
2018-07-29,62
2018-08-05,65
2018-08-12,58
2018-08-19,57
2018-08-26,52
2018-09-02,53
2018-09-09,53
2018-09-16,53
2018-09-23,52
2018-09-30,53
2018-10-07,51
2018-10-14,51
2018-10-21,50
2018-10-28,51
2018-11-04,55
2018-11-11,52
2018-11-18,51
2018-11-25,58
2018-12-02,54
2018-12-09,53
2018-12-16,53
2018-12-23,70
2018-12-30,90
2019-01-06,92
2019-01-13,82
2019-01-20,79
2019-01-27,81
2019-02-03,80
2019-02-10,79
2019-02-17,79
2019-02-24,76
2019-03-03,74
2019-03-10,70
2019-03-17,69
2019-03-24,68
2019-03-31,63
2019-04-07,57
2019-04-14,55
2019-04-21,59
2019-04-28,58
2019-05-05,57
2019-05-12,56
2019-05-19,57
2019-05-26,59
2019-06-02,61
2019-06-09,59
2019-06-16,65
2019-06-23,61
2019-06-30,60
2019-07-07,62
2019-07-14,61
2019-07-21,61
2019-07-28,60
2019-08-04,58
2019-08-11,57
2019-08-18,58
2019-08-25,54
2019-09-01,55
2019-09-08,55
2019-09-15,56
2019-09-22,57
2019-09-29,55
2019-10-06,55
2019-10-13,58
2019-10-20,55
2019-10-27,53
2019-11-03,59
2019-11-10,61
2019-11-17,60
2019-11-24,63
2019-12-01,69
2019-12-08,66
2019-12-15,67
2019-12-22,75
2019-12-29,100
2020-01-05,94
2020-01-12,90
2020-01-19,93
2020-01-26,76
2020-02-02,74
2020-02-09,73
2020-02-16,80
2020-02-23,72
2020-03-01,64
2020-03-08,67
2020-03-15,41
2020-03-22,33
2020-03-29,26
2020-04-05,29
2020-04-12,29
2020-04-19,29
2020-04-26,27
2020-05-03,30
2020-05-10,32
2020-05-17,34
2020-05-24,35
2020-05-31,37
2020-06-07,42
2020-06-14,44
2020-06-21,42
2020-06-28,37
2020-07-05,37
2020-07-12,39
2020-07-19,36
2020-07-26,40
2020-08-02,39
2020-08-09,35
2020-08-16,36
2020-08-23,35
2020-08-30,32
2020-09-06,35
2020-09-13,33
2020-09-20,32
2020-09-27,35
2020-10-04,34
2020-10-11,36
2020-10-18,32
2020-10-25,30
2020-11-01,28
2020-11-08,30
2020-11-15,28
2020-11-22,29
2020-11-29,28
2020-12-06,28
2020-12-13,28
2020-12-20,31
2020-12-27,39
2021-01-03,37
2021-01-10,36
2021-01-17,34
2021-01-24,34
2021-01-31,31
2021-02-07,35
2021-02-14,37
2021-02-21,39
2021-02-28,43
2021-03-07,47
2021-03-14,45
2021-03-21,45
2021-03-28,44
2021-04-04,44
2021-04-11,44
2021-04-18,46
2021-04-25,41
2021-05-02,43
2021-05-09,46
2021-05-16,45
2021-05-23,46
2021-05-30,48
2021-06-06,48
2021-06-13,59
2021-06-20,58
2021-06-27,54
